EncounterType,HospitalCounty,OSHPD_ID,FacilityName,System,Ownership,Urban_Rural,Teaching,LicensedBedSize,PrimaryCareShortageArea,MentalHealthShortageArea,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters,Percent
ED Visits,Alameda,14050,Stanford Health Care - Valleycare,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,722,1740,41.5
ED Visits,Alameda,14050,Stanford Health Care - Valleycare,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,782,1740,44.9
ED Visits,Alameda,14050,Stanford Health Care - Valleycare,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,224,1740,12.9
ED Visits,Alameda,14132,Kaiser Foundation Hospital - Fremont,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,2,1012,0.2
ED Visits,Alameda,14132,Kaiser Foundation Hospital - Fremont,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,597,1012,59
ED Visits,Alameda,14132,Kaiser Foundation Hospital - Fremont,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,318,1012,31.4
ED Visits,Alameda,14132,Kaiser Foundation Hospital - Fremont,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,95,1012,9.4
ED Visits,Alameda,14233,Eden Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,15,1827,0.8
ED Visits,Alameda,14233,Eden Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,600,1827,32.8
ED Visits,Alameda,14233,Eden Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,801,1827,43.8
ED Visits,Alameda,14233,Eden Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,411,1827,22.5
ED Visits,Alameda,14326,Kaiser Foundation Hospital - Oakland/Richmond,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,0 to 18,45,6394,0.7
ED Visits,Alameda,14326,Kaiser Foundation Hospital - Oakland/Richmond,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,19 to 39,2472,6394,38.7
ED Visits,Alameda,14326,Kaiser Foundation Hospital - Oakland/Richmond,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,40 to 59,2677,6394,41.9
ED Visits,Alameda,14326,Kaiser Foundation Hospital - Oakland/Richmond,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,60+,1200,6394,18.8
ED Visits,Alameda,14337,Kaiser Foundation Hospital - San Leandro,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,0 to 18,9,819,1.1
ED Visits,Alameda,14337,Kaiser Foundation Hospital - San Leandro,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,19 to 39,259,819,31.6
ED Visits,Alameda,14337,Kaiser Foundation Hospital - San Leandro,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,40 to 59,402,819,49.1
ED Visits,Alameda,14337,Kaiser Foundation Hospital - San Leandro,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,60+,149,819,18.2
ED Visits,Amador,34002,Sutter Amador Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,No,Homeless,Age,0 to 18,6,395,1.5
ED Visits,Amador,34002,Sutter Amador Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,No,Homeless,Age,19 to 39,98,395,24.8
ED Visits,Amador,34002,Sutter Amador Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,No,Homeless,Age,40 to 59,215,395,54.4
ED Visits,Amador,34002,Sutter Amador Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,No,Homeless,Age,60+,76,395,19.2
ED Visits,Butte,40802,Orchard Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,0 to 18,1,96,1
ED Visits,Butte,40802,Orchard Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,19 to 39,29,96,30.2
ED Visits,Butte,40802,Orchard Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,40 to 59,42,96,43.8
ED Visits,Butte,40802,Orchard Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,60+,24,96,25
ED Visits,Butte,40937,Oroville Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,0 to 18,1,173,0.6
ED Visits,Butte,40937,Oroville Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,19 to 39,55,173,31.8
ED Visits,Butte,40937,Oroville Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,40 to 59,71,173,41
ED Visits,Butte,40937,Oroville Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,60+,46,173,26.6
ED Visits,Butte,40962,Enloe Medical Center- Esplanade,N/A,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Age,0 to 18,104,5471,1.9
ED Visits,Butte,40962,Enloe Medical Center- Esplanade,N/A,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Age,19 to 39,2262,5471,41.3
ED Visits,Butte,40962,Enloe Medical Center- Esplanade,N/A,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Age,40 to 59,2097,5471,38.3
ED Visits,Butte,40962,Enloe Medical Center- Esplanade,N/A,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Age,60+,1008,5471,18.4
ED Visits,Calaveras,50932,Mark Twain Medical Center,Dignity Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,0 to 18,0,72,0
ED Visits,Calaveras,50932,Mark Twain Medical Center,Dignity Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,19 to 39,23,72,31.9
ED Visits,Calaveras,50932,Mark Twain Medical Center,Dignity Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,40 to 59,32,72,44.4
ED Visits,Calaveras,50932,Mark Twain Medical Center,Dignity Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,60+,17,72,23.6
ED Visits,Colusa,60870,Colusa Medical Center,Adventist Health Systems,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,0 to 18,0,18,0
ED Visits,Colusa,60870,Colusa Medical Center,Adventist Health Systems,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,19 to 39,2,18,11.1
ED Visits,Colusa,60870,Colusa Medical Center,Adventist Health Systems,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,40 to 59,13,18,72.2
ED Visits,Colusa,60870,Colusa Medical Center,Adventist Health Systems,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,60+,3,18,16.7
ED Visits,Contra Costa,70924,Contra Costa Regional Medical Center,N/A,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,16,3875,0.4
ED Visits,Contra Costa,70924,Contra Costa Regional Medical Center,N/A,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,1687,3875,43.5
ED Visits,Contra Costa,70924,Contra Costa Regional Medical Center,N/A,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,1437,3875,37.1
ED Visits,Contra Costa,70924,Contra Costa Regional Medical Center,N/A,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,735,3875,19
ED Visits,Contra Costa,70934,Sutter Delta Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,23,2170,1.1
ED Visits,Contra Costa,70934,Sutter Delta Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,875,2170,40.3
ED Visits,Contra Costa,70934,Sutter Delta Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,1009,2170,46.5
ED Visits,Contra Costa,70934,Sutter Delta Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,263,2170,12.1
ED Visits,Contra Costa,70988,John Muir Medical Center-Walnut Creek Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,0 to 18,5,904,0.6
ED Visits,Contra Costa,70988,John Muir Medical Center-Walnut Creek Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,19 to 39,278,904,30.8
ED Visits,Contra Costa,70988,John Muir Medical Center-Walnut Creek Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,40 to 59,424,904,46.9
ED Visits,Contra Costa,70988,John Muir Medical Center-Walnut Creek Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,60+,197,904,21.8
ED Visits,Contra Costa,70990,Kaiser Foundation Hospital - Walnut Creek,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,0 to 18,0,638,0
ED Visits,Contra Costa,70990,Kaiser Foundation Hospital - Walnut Creek,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,19 to 39,202,638,31.7
ED Visits,Contra Costa,70990,Kaiser Foundation Hospital - Walnut Creek,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,40 to 59,280,638,43.9
ED Visits,Contra Costa,70990,Kaiser Foundation Hospital - Walnut Creek,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,60+,156,638,24.5
ED Visits,Contra Costa,71018,John Muir Medical Center-Concord Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,0 to 18,33,2770,1.2
ED Visits,Contra Costa,71018,John Muir Medical Center-Concord Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,19 to 39,824,2770,29.7
ED Visits,Contra Costa,71018,John Muir Medical Center-Concord Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,40 to 59,1274,2770,46
ED Visits,Contra Costa,71018,John Muir Medical Center-Concord Campus,John Muir Health,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Age,60+,639,2770,23.1
ED Visits,Contra Costa,74017,San Ramon Regional Medical Center,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,0,75,0
ED Visits,Contra Costa,74017,San Ramon Regional Medical Center,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,24,75,32
ED Visits,Contra Costa,74017,San Ramon Regional Medical Center,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,38,75,50.7
ED Visits,Contra Costa,74017,San Ramon Regional Medical Center,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,13,75,17.3
ED Visits,Contra Costa,74097,Kaiser Foundation Hospital - Antioch,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,5,648,0.8
ED Visits,Contra Costa,74097,Kaiser Foundation Hospital - Antioch,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,291,648,44.9
ED Visits,Contra Costa,74097,Kaiser Foundation Hospital - Antioch,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,238,648,36.7
ED Visits,Contra Costa,74097,Kaiser Foundation Hospital - Antioch,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,114,648,17.6
ED Visits,Del Norte,84001,Sutter Coast Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,0 to 18,9,876,1
ED Visits,Del Norte,84001,Sutter Coast Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,19 to 39,296,876,33.8
ED Visits,Del Norte,84001,Sutter Coast Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,40 to 59,397,876,45.3
ED Visits,Del Norte,84001,Sutter Coast Hospital,Sutter Health,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,60+,174,876,19.9
ED Visits,El Dorado,90793,Barton Memorial Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,0 to 18,1,466,0.2
ED Visits,El Dorado,90793,Barton Memorial Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,19 to 39,132,466,28.3
ED Visits,El Dorado,90793,Barton Memorial Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,40 to 59,217,466,46.6
ED Visits,El Dorado,90793,Barton Memorial Hospital,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,60+,116,466,24.9
ED Visits,El Dorado,90933,Marshall Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,8,770,1
ED Visits,El Dorado,90933,Marshall Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,279,770,36.2
ED Visits,El Dorado,90933,Marshall Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,351,770,45.6
ED Visits,El Dorado,90933,Marshall Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,100-199,No,No,Homeless,Age,60+,132,770,17.1
ED Visits,Fresno,100005,Clovis Community Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,200-299,Yes,Yes,Homeless,Age,0 to 18,19,1380,1.4
ED Visits,Fresno,100005,Clovis Community Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,200-299,Yes,Yes,Homeless,Age,19 to 39,642,1380,46.5
ED Visits,Fresno,100005,Clovis Community Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,200-299,Yes,Yes,Homeless,Age,40 to 59,592,1380,42.9
ED Visits,Fresno,100005,Clovis Community Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,200-299,Yes,Yes,Homeless,Age,60+,127,1380,9.2
ED Visits,Fresno,100717,Community Regional Medical Center-Fresno,N/A,Non-Profit,Urban,Teaching,400+,Yes,No,Homeless,Age,0 to 18,153,14315,1.1
ED Visits,Fresno,100717,Community Regional Medical Center-Fresno,N/A,Non-Profit,Urban,Teaching,400+,Yes,No,Homeless,Age,19 to 39,6197,14315,43.3
ED Visits,Fresno,100717,Community Regional Medical Center-Fresno,N/A,Non-Profit,Urban,Teaching,400+,Yes,No,Homeless,Age,40 to 59,6301,14315,44
ED Visits,Fresno,100717,Community Regional Medical Center-Fresno,N/A,Non-Profit,Urban,Teaching,400+,Yes,No,Homeless,Age,60+,1664,14315,11.6
ED Visits,Fresno,100797,Adventist Health Reedley,Adventist Health Systems,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,0 to 18,0,52,0
ED Visits,Fresno,100797,Adventist Health Reedley,Adventist Health Systems,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,19 to 39,20,52,38.5
ED Visits,Fresno,100797,Adventist Health Reedley,Adventist Health Systems,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,40 to 59,22,52,42.3
ED Visits,Fresno,100797,Adventist Health Reedley,Adventist Health Systems,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,60+,10,52,19.2
ED Visits,Fresno,100899,St. Agnes Medical Center,N/A,Non-Profit,Urban,Non-Teaching,400+,No,Yes,Homeless,Age,0 to 18,11,2800,0.4
ED Visits,Fresno,100899,St. Agnes Medical Center,N/A,Non-Profit,Urban,Non-Teaching,400+,No,Yes,Homeless,Age,19 to 39,1156,2800,41.3
ED Visits,Fresno,100899,St. Agnes Medical Center,N/A,Non-Profit,Urban,Non-Teaching,400+,No,Yes,Homeless,Age,40 to 59,1376,2800,49.1
ED Visits,Fresno,100899,St. Agnes Medical Center,N/A,Non-Profit,Urban,Non-Teaching,400+,No,Yes,Homeless,Age,60+,257,2800,9.2
ED Visits,Fresno,104062,Kaiser Foundation Hospital - Fresno,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,Yes,Homeless,Age,0 to 18,1,480,0.2
ED Visits,Fresno,104062,Kaiser Foundation Hospital - Fresno,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,Yes,Homeless,Age,19 to 39,189,480,39.4
ED Visits,Fresno,104062,Kaiser Foundation Hospital - Fresno,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,Yes,Homeless,Age,40 to 59,142,480,29.6
ED Visits,Fresno,104062,Kaiser Foundation Hospital - Fresno,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,100-199,No,Yes,Homeless,Age,60+,148,480,30.8
ED Visits,Humboldt,121002,Mad River Community Hospital,N/A,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,0 to 18,7,571,1.2
ED Visits,Humboldt,121002,Mad River Community Hospital,N/A,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,19 to 39,210,571,36.8
ED Visits,Humboldt,121002,Mad River Community Hospital,N/A,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,40 to 59,240,571,42
ED Visits,Humboldt,121002,Mad River Community Hospital,N/A,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,60+,114,571,20
ED Visits,Humboldt,121031,Jerold Phelps Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,0 to 18,1,250,0.4
ED Visits,Humboldt,121031,Jerold Phelps Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,19 to 39,97,250,38.8
ED Visits,Humboldt,121031,Jerold Phelps Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,40 to 59,133,250,53.2
ED Visits,Humboldt,121031,Jerold Phelps Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,60+,19,250,7.6
ED Visits,Humboldt,121051,Providence Redwood Memorial Hospital,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,0 to 18,5,698,0.7
ED Visits,Humboldt,121051,Providence Redwood Memorial Hospital,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,19 to 39,326,698,46.7
ED Visits,Humboldt,121051,Providence Redwood Memorial Hospital,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,40 to 59,273,698,39.1
ED Visits,Humboldt,121051,Providence Redwood Memorial Hospital,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Age,60+,94,698,13.5
ED Visits,Humboldt,121080,Providence St. Joseph Hospital - Eureka,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,0 to 18,36,4493,0.8
ED Visits,Humboldt,121080,Providence St. Joseph Hospital - Eureka,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,19 to 39,1711,4493,38.1
ED Visits,Humboldt,121080,Providence St. Joseph Hospital - Eureka,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,40 to 59,1979,4493,44
ED Visits,Humboldt,121080,Providence St. Joseph Hospital - Eureka,Providence St. Joseph Health,Investor,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,60+,767,4493,17.1
ED Visits,Imperial,130699,El Centro Regional Medical Center,N/A,Government,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,0 to 18,9,1245,0.7
ED Visits,Imperial,130699,El Centro Regional Medical Center,N/A,Government,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,19 to 39,458,1245,36.8
ED Visits,Imperial,130699,El Centro Regional Medical Center,N/A,Government,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,40 to 59,545,1245,43.8
ED Visits,Imperial,130699,El Centro Regional Medical Center,N/A,Government,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,60+,233,1245,18.7
ED Visits,Imperial,130760,Pioneers Memorial Healthcare District,N/A,Government,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Age,0 to 18,4,345,1.2
